date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:30	125185/125185	---MCZ	200	added ('OK')	text/html	etag:%22dw9g5lokjb2oki%22	https://yassir.com/en/algeria/about-us	C:/Users/moham/Desktop/test/yassir.com/en/algeria/about-us.html	(from https://yassir.com/en/algeria/contact-us)
00:32:31	100655/100655	---MCZ	200	added ('OK')	text/html	etag:%22h2neyfwydn25no%22	https://yassir.com/en/algeria/privacy-policy	C:/Users/moham/Desktop/test/yassir.com/en/algeria/privacy-policy.html	(from https://yassir.com/en/algeria/contact-us)
00:32:32	148726/148726	---MCZ	200	added ('OK')	text/html	etag:%226h0cmt07at36kd%22	https://yassir.com/en/algeria/terms-of-use	C:/Users/moham/Desktop/test/yassir.com/en/algeria/terms-of-use.html	(from https://yassir.com/en/algeria/contact-us)
00:32:34	79615/79615	---MCZ	200	added ('OK')	text/html	etag:%22gtktnlxsi71pf8%22	https://yassir.com/en/algeria/cookies	C:/Users/moham/Desktop/test/yassir.com/en/algeria/cookies.html	(from https://yassir.com/en/algeria/contact-us)
00:32:34	6219/6219	---MCZ	200	added ('OK')	application/javascript	etag:W/%22184b-1988509f4d8%22	https://yassir.com/_next/static/chunks/4940.aee939077402d0f5.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/4940.aee939077402d0f5.js	(from https://yassir.com/ar/business-ridehailing)
00:32:36	140924/140924	---M--	200	added ('OK')	image/png	etag:iT6MSWuI9qdKv6oy8W37WSsrwhhZYkbqsRjqdL3ufkc=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbusiness%2Fbusiness-header.png&w=3840&q=100	C:/Users/moham/Desktop/test/yassir.com/_next/business-header0dfc.png	(from https://yassir.com/ar/business-ridehailing)
00:32:36	13205/13205	---M--	200	added ('OK')	image/png	etag:DNHy35pLds+fVwGmu9gLdZmXOse5gL2DUTS7kzCHQ5k=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbusiness%2Fmanage-program-ar-mobile.png&w=750&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/manage-program-ar-mobile3e0c.png	(from https://yassir.com/ar/business-ridehailing)
00:32:37	16300/16300	---M--	200	added ('OK')	image/png	etag:9CZeS0hXerdvrRnLvvPoYp2P8V8YXkm2TZYTwCqBwbI=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbusiness%2FB2B-ar-benefit-highlight-desktop-1.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/B2B-ar-benefit-highlight-desktop-182b3.png	(from https://yassir.com/ar/business-ridehailing)
00:32:38	21036/21036	---M--	200	added ('OK')	image/png	etag:nimuehgtLh46moIYUOzPV4+EgVgPhVZ2XcVct616OB0=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbusiness%2FB2B-ar-benefit-highlight-desktop-2.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/B2B-ar-benefit-highlight-desktop-2f604.png	(from https://yassir.com/ar/business-ridehailing)
00:32:39	20866/20866	---M--	200	added ('OK')	image/png	etag:asr8T6Dz0fPBlM538X+0cDd3W4zxKbGYhTGT1cfCEzA=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbusiness%2FB2B-ar-benefit-desktop-3.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/B2B-ar-benefit-desktop-383c6.png	(from https://yassir.com/ar/business-ridehailing)
00:32:39	26025/26025	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265a9-1988509f4d8%22	https://yassir.com/_next/static/chunks/3592.4e4911686710f1ef.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/3592.4e4911686710f1ef.js	(from https://yassir.com/career/jobs)
00:32:40	11733/11733	---MCZ	200	added ('OK')	application/javascript	etag:W/%222dd5-1988509f4d8%22	https://yassir.com/_next/static/chunks/1310.219192c1a0d7e08b.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/1310.219192c1a0d7e08b.js	(from https://yassir.com/career/jobs)
00:32:41	986/986	---M--	200	added ('OK')	application/javascript	etag:W/%223da-1988509f4d8%22	https://yassir.com/_next/static/chunks/pages/career/jobs-49cab34469459674.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/pages/career/jobs-49cab34469459674.js	(from https://yassir.com/career/jobs)
